,AACS,ACSL6,ACSS1,ALAS1,AMDHD2,ARHGEF2,BATF,BCL11A,betaglobin,BPI,CD151,CD44,CREG1,CRIP2,CTCF,CTSA,CYP51A1,DCP1A,DCTD,DHCR24,DHCR7,DPP7,EGFR,EMB,FAM208B,FHL3,FNIP1.F1.R1,GLRX5,GPT2,GSN,HMGCS1,HRAS1,HSD17B7,HSP90AA1,HYAL1,LCP1,LDHA,MAPK12,MFSD2B,MID2,MKNK2,MTFR1,MVD,MYO1G,NCOA4,NSDHL,PDLIM7,PIK3CG,PLAG1,PLS1,PLS3,PPP1R15B,PTPRC,RBM38,REXO2,RFFL,RPL22L1,RSFR,RUNX2,sca2,SCD,SERPINI1,SLC25A37,SLC6A9,SLC9A3R2,SMPD1,SNX22,SNX27,SQLE,SQSTM1,STARD4,STX12,SULF2,SULT1E1,TADA2L,TBC1D7,TNFRSF21,TPP1,TTYH2,UCK1,VDAC3,WDR91,XPNPEP1
REV1.0H.1,2.712486933816386,0.619672601682916,0.0,6.985768145395062,1.4944186636895664,3.421030001890147,2.046147327215048,3.66955845480061,6.2449261351420216,2.4455725715942402,4.413576845033952,4.633928883282352,2.3520322581658655,2.954762981735709,3.909083646771069,1.7951093039822559,2.3518239939401124,2.164072217885293,1.876913113883736,4.684378933642961,2.9357687336058285,2.101079811199722,5.7198005918815795,3.033999894322448,3.3414710572275017,4.156711743063393,2.216409704377966,0.13831993145740779,4.825853049273,6.43238468476553,4.947356852870987,0.0,4.332059989698957,2.9062747117360166,0.0,6.012486565309794,7.74280092703773,0.0,0.0,4.300888185220734,2.0490349677605253,4.35082442556775,4.4227662664149925,3.272783901998329,4.060560025934455,3.968024582652859,3.525506374631402,0.0,4.306569682843106,1.6586214011484794,3.6894618682742757,3.631084432055004,2.090189081319091,0.0,4.1182691453337235,3.6729002226604077,4.662520054263045,1.6186298771528427,4.635041467447123,7.00979584011073,4.930714526678595,0.0,0.0,3.3092518499833905,3.953874850636233,1.7483231020354228,0.0,3.4858021746599044,3.722777047415319,0.0,3.4592025761450693,3.72528401129404,5.405387777508797,3.4872831673469626,3.7134463525437624,1.8513598078908682,0.0,4.930102267702571,0.0,2.5564256111512647,3.940201108643468,3.632455018454217,2.530607401191894
REV1.0H.2,4.383748415966498,2.000078359371496,0.0,6.637092179019809,2.5592738901644987,4.954838475090906,3.26599340086173,3.5420018290616317,6.377834891389319,3.7180216048122654,4.7345342449131635,5.380602077505157,4.383882851438006,4.90927269351254,3.6391482053765736,1.517175472968474,1.969849264130871,3.2359473125781912,1.9827850889528384,5.28864741918364,2.5757590022363193,2.199879154362977,5.39234040278052,0.0,3.683732044587346,4.670454238689583,3.3958311045508265,0.41134577874518974,3.2283817592683657,6.60447922004714,2.2977301798519427,0.0,3.101385370703507,3.5435068560152025,3.014544340856341,6.32159142674773,8.878896516176164,2.289313605392964,0.0,4.497059169499099,3.174740566195265,4.526413674290969,4.171314352607065,3.1270552341391076,4.32767613706301,0.0,4.898672859607541,0.7638735047438249,0.35812980301504516,2.202303282221721,2.471348166161426,4.74092663047495,6.056692828202877,0.0,4.894139968772807,4.773104228356996,6.488795096945835,1.4927526095840926,5.707572107497984,7.215022780403712,4.818501117202127,0.0,0.0,4.766040565098571,3.2333000149650855,1.762154519253469,2.14100780815621,3.047264751654686,4.867394743535556,3.427869685680536,3.9814930284403784,4.705132557279486,4.423897320874979,3.2615943227280564,3.858558792859556,2.316086559773481,0.6762634603144743,3.6638905114008145,0.0,2.9760140313493566,3.0209787423404015,3.380751865328787,2.566080440431889
REV1.0H.3,4.970528897815093,0.6465889262745117,3.2058055511738868,4.7248679183985045,3.3674007087657025,5.284761247201906,3.5299611495485332,4.300589653859728,4.529445367059005,2.81268699078181,5.320320635039503,2.414910811707238,5.19750907456698,1.0263295964470118,4.983284026798125,3.197988826392363,4.133685337034631,4.089194456128064,4.784881652359127,6.693717834589735,3.43540776372207,3.0025433561680983,3.8796446208991675,3.224712539360839,3.792711798422973,4.689046549819171,4.7950559846815635,0.6511525075207534,5.046528741071834,6.398392985312442,5.502102903177749,4.313060280050275,4.40367019098743,4.864846818468809,1.0368915196266557,6.8652758836874925,7.945434813565505,0.0,2.9906207571166563,4.323054331666418,3.0909851493759377,4.368127156798399,4.152955244877289,3.252316469379242,4.6680377150726455,6.262640077713278,5.1222898391429075,0.026708650872527176,4.687577290606191,2.267188024304586,3.9795266086736762,4.930826508371662,4.686201985795842,4.3363636755979265,4.545781890650122,4.247298819880281,6.490856988364309,3.046171587864442,4.312455172132303,7.114041406278451,5.639181516444587,1.2950421233719094,3.110847784679204,2.27449136101333,2.9653678808057182,3.217195863285892,2.2222832108930253,4.73784644632712,5.126694208136297,2.6998173934415717,4.212891140966173,5.164120143915703,6.815716152606824,4.091871096185941,5.074674892450189,5.312663153935958,0.7078884524881153,5.872891239650594,0.0,3.6161478100880884,3.8950893817157866,4.305911634436067,4.500545226870635
REV1.0H.4,5.964146958087459,2.8608757518777663,0.0,6.281757063562755,3.100520278276996,5.452515559218842,3.5970272802723553,5.36740502419693,3.9162542337568755,2.8519029290550413,4.757509738401199,0.0,5.706725869672474,2.8538912785838964,5.073649014412707,2.6205170836518175,4.099448664370721,4.471810640608408,4.45039683934108,6.5344231945742,4.436753331824876,2.98118379533198,4.3126402539043935,3.1567290824698477,2.7466062191862193,5.448127250267319,4.724104648059588,0.5940897837029511,2.5542354811229693,6.382872934752984,5.471589521839047,4.0322816000262165,4.033707887118147,4.696929404557433,0.0,6.0901253687528385,9.003721915412525,0.0,0.0,4.505064735722881,2.868472576799585,4.759799509069475,5.890077032257841,4.726190446865822,5.014865133161174,6.390916873370745,6.027691269481672,0.9178256142411173,2.7174081837117594,2.1345091832192074,4.627729481920935,4.713062910999168,5.158235140738323,4.460880635866218,4.268611351981976,2.5413635364911698,5.925516176278976,2.884780416114799,5.43671550472495,7.175439710964332,5.504869814802456,0.0,3.401659507866504,3.148616412338954,4.558498820516198,2.9795079970411082,1.1617522053151406,4.6314080062703615,5.790147461844182,4.104364114638558,6.257633927028231,3.883455702913003,5.1974713711711225,2.5406638473034104,2.792278493358598,4.090049627355112,0.385019172047026,4.503824371276557,4.327676306352737,4.419209598699539,4.379477345882775,4.367701630833217,5.622515951651803
REV1.0H.5,0.0,0.09900792271087959,0.0,5.73158188907014,0.0,4.325695831230066,0.0,2.3011255998850424,0.0,3.632677045300246,3.328281936508093,2.212427618118256,3.9679898183782374,4.617181650632472,3.9861705025912335,2.482442759434583,2.2699713864549227,3.7598105191029854,3.815979960203117,4.877254241523686,2.551588668448191,0.0,4.317509435372227,2.4321962465146942,2.109393161954339,5.037736304157555,3.907725612834311,0.17449701089739852,2.680196550962389,6.555380675795091,4.389454630778059,3.4440993061097314,3.4560433979195064,3.635973456349003,0.0,6.260779234354638,8.031107728205942,3.9900052630263723,0.0,4.740470518765278,2.4718413749255186,2.2952021478587583,0.0,3.463902532000547,0.0,4.876830887678294,5.016712261703838,0.0,0.9377704623552244,1.4867854229228936,3.224130992526496,3.2378048736540106,2.0296904610472297,3.9034888012268296,3.4471981533377587,2.5252000937955197,4.417414693752771,4.192464684818354,4.547660703183362,8.11296933370079,4.091630591419148,0.0,2.3783620516225703,0.0,0.0,1.5652914104047422,0.0,2.4850300826301535,3.7618682451951653,3.718500847364057,2.8445835077546455,3.6759286965978,6.611605902518937,2.51873784933775,4.899059258616146,3.222253149467317,0.17601951373446656,4.83551109085131,0.0,0.0,3.7201170310774674,3.943864466262606,3.4520514557753805
REV1.0H.6,2.857144462641141,0.0,0.0,4.7458618221329605,2.501206818337494,3.6422634170325154,0.0,4.061882781217292,2.261028043312555,2.7046057530460796,5.1451234846219975,2.360726192671464,5.492214171175476,2.7677005796815246,3.089730273335642,1.4805141968507636,0.15048370546904274,3.236432251885529,1.8925267194615694,1.3975496031912316,2.0203389413690473,2.2003366232582913,3.9706701696608384,1.458843563981229,0.8390477284537315,5.016255300998436,1.2835202736326972,0.202241880388887,2.704488033343483,6.450628051259867,2.0122935942850626,0.0,0.0,3.132977221427371,0.05913418822661399,5.196313156922957,7.816858242439771,0.7574397047405552,0.0,4.100729751965387,2.9666351993682656,3.0711127922371273,2.2524215564248684,1.1511714998796272,5.286125544820798,0.0,5.255278165238253,0.5783469554611455,3.984904013493071,2.2063903171483386,2.641302161462197,3.115595393843401,5.608038640213447,0.0,3.0864868296657972,3.6147136692098316,6.216431417879346,2.204723262211057,4.4382321820597115,7.331148291731065,4.4050382075962915,0.0,0.0,4.503749964214942,2.869395619391877,2.9803295121650635,0.0,3.4344367382454903,2.25366801156748,3.3095856775304076,2.460103892950222,4.413411488222874,4.931265306442713,2.208894974852491,3.9214698458259836,3.8875697875838915,0.06879560166354157,3.2909840354606685,0.0,3.586438238109763,3.7155628848425524,4.255390964786043,3.9001304420701683
REV1.0H.7,4.425618230222802,1.1772057113303949,0.0,4.256474553761568,1.490645444680484,4.522836428024407,2.4035353967842115,4.098628038597586,5.007414749540102,2.981121936250616,3.6538858169245794,1.940378801581167,5.329395788275936,4.131410896926642,4.051692721698028,2.4013714410855824,1.6837158895584687,3.819857160842656,2.053590969178591,2.930556708023079,1.384787125450326,2.6012133778077393,3.555017533822239,4.4023211861689315,3.6604698616392004,5.25237412867278,3.5767332357999337,0.458552436178328,3.584481612201249,5.622193074716973,2.6502568381313902,0.0,2.6329766814310913,4.110396963271477,2.7570371876805804,6.556876943753831,7.947414380474417,0.0,0.0,3.157925800655941,3.7513389168106337,3.9711079177156763,3.0017830177698874,0.0,4.959031681046898,0.0,5.269603111124994,0.0,4.479229982124913,2.4364160001759734,4.054856390893182,4.191479361653375,5.267368655710242,0.0,4.088165633085117,3.8547606954215707,6.358527258379763,1.5202594278379178,5.232203487535162,6.287635985933564,6.09371798576592,0.0,3.162352866728453,4.084080678274665,3.233887522844857,3.6026870273570792,1.7196923302329845,3.5980613671162294,3.795615879770629,3.9921544125974506,3.621324809901997,2.174871114487595,6.809396126102162,3.7806188320183303,4.731175091457483,3.626503889380964,0.0,5.255746110893539,0.0,3.638821527508648,3.9545192732392582,4.327421063365295,3.408603402972109
REV1.0H.8,5.383436955387139,0.0,0.0,6.946561285485136,2.683147342520545,3.3686084558331215,3.732204423097807,2.3552213292553765,3.8049448756377844,2.4651123884192687,5.076224587016268,0.0,3.100930015709805,2.332171464965823,3.1684514725406148,1.0463500451588457,3.284482760747375,4.718178138707414,4.483857058944895,5.968297543342374,2.7846730385811505,2.7278224677842626,5.61941273987561,3.636566297041963,0.0,5.01697835061042,3.7729603584757783,0.2995210623061235,2.824522457676799,6.368902917134235,3.9911989430569275,4.01213301015056,4.619575032201605,4.8260017434353335,0.0,6.530397859365679,9.001982763942843,2.4621012252179963,0.0,3.713889517762825,3.5070221308232634,4.979984306748772,3.3020844603805313,3.279262173255805,4.881906977115475,5.770182811059283,4.970978158249766,1.902643616434621,4.73128617463658,1.09583013134467,3.6839418715329835,5.002814935111211,0.0,0.21297937046554682,4.372279223247452,4.115940062334791,5.829270228474546,0.0,4.227598154280515,7.253665579188154,5.0072038066981825,0.0,4.368614132220263,3.5727350083503144,4.67082106933858,1.9746757181864745,0.0,3.641526083115915,4.313198307227639,4.279700820603272,4.931012715672157,4.521178882344361,4.160139284843934,3.8337786928088105,3.6673276610090304,3.477911462716841,0.0,4.257110105516459,4.130782801413584,3.298940015446621,3.348039372187274,2.5607246112556106,4.865950540104668
REV1.0H.9,3.4400881323074297,0.0,0.0,5.748900689535136,0.0,4.314715680850793,1.8869342093620374,2.4973509235248157,6.1896793991973915,3.4251480052805072,3.930027609989749,5.670907176437698,4.568469950587787,5.272420282030688,3.2144855863807504,1.509337136407337,2.975517303528846,3.6442811734616742,2.515127444127281,5.198010302940363,3.2687386196286696,2.8120583372934647,5.950714239098323,5.237129048323408,3.5512554080197556,5.144502651407359,4.441064493835214,0.8938228062372888,2.4511094337005255,6.157580341143488,3.682007463213714,3.2510702311296042,3.3876276518668966,4.566617878907633,0.0,6.406341864803179,8.757737274216446,0.0,0.0,4.319469159101568,3.6562717304033976,3.429087131786614,4.163962139953814,2.786072176371523,3.7700425018306705,4.1086482676854645,5.316941626999668,0.11288284148985409,0.18342766468607943,1.7675623650488108,3.6904282005664233,4.042588819615298,5.418742524933836,0.09636414137513204,3.828688541560205,1.2269934131632838,6.3487221463099415,1.8938815580583466,5.079141362282813,6.703396778035282,4.848981823335561,0.0,2.2517925703110473,3.781075732792023,4.029675999884142,3.5127147002973214,0.06561816915238854,3.658458349052141,4.557414818461499,1.8365678518543813,4.107235087021764,4.07640049229274,3.985404880104251,3.908913268987474,4.536466612516652,2.042391897827711,0.8697476887768522,4.603090791463195,0.0,2.58165254800557,2.858992477576209,3.0392519662813258,2.0506302363264015
REV1.0H.10,0.0,0.0,0.0,3.4565977592369816,1.226640702176006,0.30659660597607585,0.0,0.0,5.750469693464887,0.0,0.0,0.0,4.976209542568195,0.40733396163046753,3.364886439376756,2.419374541981319,0.9580873908899428,4.170163818565047,0.0,2.8194924825332603,0.32076444422876954,2.1575839212048797,3.865256084715072,0.0,2.15468884930437,4.146218143610329,4.301540147340237,0.8927306646208919,4.797328065034558,4.8040443570013105,5.067405917024192,2.5327550838377713,0.0,0.715029346807399,2.6252844865986,0.0,5.765190337485872,3.0376101343349897,0.9252424991261152,0.0,4.39694997485082,4.455843828969092,1.949918775775642,0.0,5.820390275613974,0.0,4.802053149211931,0.939936116966973,4.7087994521474394,2.627882042894645,4.383743199067099,4.183129308628459,3.0508689491926693,0.0,4.043182763567109,5.321901125234386,6.208504405448113,0.0,4.4629167935231004,4.075301137551499,2.495101295530299,0.0,4.873700457257471,5.051356743379396,4.89241674732328,3.0969971239209433,4.8398806943138535,3.1800991310604405,0.13630668588200023,3.919871055797446,2.7896875626813373,5.5578012839050634,3.060641446432368,2.5134358119043645,0.0,4.653208928228309,0.0,4.936149910701122,2.803562656589981,3.9111232905814948,3.2073871908695524,4.508927896116813,0.0
